MaxT,MinT,WindSpeed,Humidity 
29.5,21.8,1.6,70.2
30.1,21,1.6,67.4
29.9,21.1,1.7,65.2
29.8,20.8,1.5,69
29.6,20.5,2.1,69.5
29.7,19.8,2.1,62.6
29.7,19.7,2.1,62.5
29.4,19.9,1.8,67.3
30.3,19.9,1.3,66.4
31,20.7,1.3,67.7
31.5,20.6,1.4,68.9
32.1,20.4,1.6,61.2
33.9,20.9,1.7,58.3
32.7,21,1.4,57.3
33.2,20.4,2,61.1
33,21.1,2.5,49.2
31.4,20.9,2.3,52.6
29,20.2,2.5,57.1
27,19.6,1.8,56.3
29.3,18.1,2.3,57.8
29.3,16.8,2.1,56.6
29.8,17.7,1.9,55.9
29.7,18.5,2,53.3
30.5,19.9,1.9,61.2
30.3,19.5,1.8,65.9
30.2,19.9,2,62.9
31.1,19.2,2.7,63.1
32,20,1.9,55.9
32.1,19.3,1.8,55.4
31,20.1,1.9,60.4
30.9,19.8,1.8,51.2
30.2,19.7,1.8,53.7
29.6,19.9,2,55.1
31.2,19.6,2.2,53
32.2,20.1,2.1,57.3
31.3,19.8,1.8,57.3
31.8,19.7,1.7,54.6
34.1,20.6,1.7,52.9
33.5,20.9,1.3,56.2
33.4,20.4,1.8,55.1
32.8,21.8,1.9,58.9
33.1,22.6,1.9,57.4
33.9,22.4,1.7,54
33.9,22.5,2,59.9
34.2,21.8,1.8,58.2
34.7,21.9,1.7,53.3
34.9,21.4,2,50.9
35.3,21,2,45.7
35.3,20.8,1.8,45.4
35.6,21.6,2.1,49.7
34.8,21.4,2.6,52.3
34.6,22.6,2.5,56
33.6,23.5,2.5,56.2
33.1,22.8,2.8,66
32.1,24.3,2.8,71.3
33.1,25.3,2.3,71.7
32.9,24.6,2.3,69.6
33.7,24.1,2.2,67
33.3,24,2.2,65.5
33,24.1,2.2,64.3
32.7,24.2,3.2,63.5
32.5,23.8,2.6,66.3
30.8,22.7,2.1,76.2
32.5,23.4,1.7,64.8
32.8,23.8,2.3,61.5
33.3,24.3,2.6,63.2
33.7,25.3,2.4,70.2
33.3,24.8,2.4,59.6
32.7,24.2,2.3,60.1
33.8,23.6,3,56.7
33.2,24.4,2.4,53.4
34.1,23.5,2,56.9
35.9,23.5,2.2,50.1
35.4,24.4,2.5,48.5
36.4,24.8,2.2,49.8
35.1,24.6,1.6,48.8
35.8,24.4,2.1,53.4
36.4,24.9,2.1,51.3
36.7,25.8,2.4,46.4
35.7,25.9,2.1,57.4
33.8,24.5,2.3,51.3
34.8,24.8,2.5,52.4
35.6,24.9,1.7,54.6
36,25.3,2.2,53.7
35.4,26.3,2.7,62.4
35.4,26.3,2.7,63.4
35.6,26,2.5,59.3
36.4,26.3,2.4,50.4
36.8,26.1,2.4,61.2
36.2,27,2.6,55.5
36,27.6,2.8,59.5
35.8,28,2.8,56.7
35.2,27.2,2.9,69.4
36.2,26.2,2.5,59.1
